="",="Salaried/Private",="",="Entrepr/Private",="",="Salaried/Public",="",="Entrepr/Public",=""
="",="mean",="sd",="mean",="sd",="mean",="sd",="mean",="sd"
="Female",="0.67",="(0.47)",="0.62",="(0.49)",="0.64",="(0.48)",="0.60",="(0.49)"
="Married",="0.86",="(0.35)",="0.94",="(0.23)",="0.81",="(0.40)",="0.92",="(0.27)"
="Performance",="3.07",="(1.52)",="3.00",="(1.71)",="2.87",="(1.47)",="2.88",="(1.65)"
="Performance (Forced)",="3.24",="(1.53)",="3.24",="(1.87)",="3.00",="(1.98)",="3.24",="(1.80)"
="Investment in Risk",="49.31",="(34.98)",="52.04",="(35.82)",="47.37",="(34.58)",="62.85",="(35.08)"
="Confidence in Task",="4.52",="(1.97)",="4.45",="(2.04)",="4.52",="(2.52)",="4.41",="(1.71)"
="Age",="45.83",="(14.17)",="47.59",="(11.17)",="45.33",="(14.19)",="48.33",="(11.53)"
="Formal Education",="2.40",="(1.44)",="2.17",="(1.21)",="2.64",="(1.55)",="2.40",="(1.26)"
="Vocational Training",="0.46",="(0.80)",="0.46",="(0.86)",="0.33",="(0.80)",="0.39",="(0.85)"
="N of Contacts",="2.80",="(1.28)",="3.13",="(1.45)",="3.06",="(1.66)",="2.86",="(1.61)"
="Competition Entry",="0.31",="(0.47)",="0.16",="(0.37)",="0.18",="(0.39)",="0.24",="(0.43)"
